generation,genome_id,episode,reward,initial_distance,final_distance,avg_distance,distance_improvement,steps,goal_reached,initial_x,initial_z,final_x,final_z,target_x,target_z
1,28,1,17.6973214599224,2273.0000155312814,1829.0535863328334,1799.7912268170924,443.94642919844796,30,False,-1171.0,0.2657164,-717.8306,-183.4492,1102.0,0.0
1,28,2,41.009419375109445,2273.001015452385,1362.8126279501962,1736.117546565914,910.188387502189,30,False,-1171.001,0.2650407,-231.2354,-282.3856,1102.0,0.0
1,28,3,35.88948623376819,2273.00001575865,1465.2102910832866,1749.762257606942,807.7897246753635,30,False,-1171.0,0.2676543,-329.2926,-313.4369,1102.0,0.0
1,29,1,16.75176593098101,2273.0080153503727,1847.9726967307527,2055.7105416766376,425.03531861962006,30,False,-1171.008,0.2641648,-741.9637,-121.6592,1102.0,0.0
1,29,2,7.143893494648421,2273.000015716605,2040.1221458236366,2016.7319941766323,232.87786989296842,30,False,-1171.0,0.267297,-930.196,-179.6602,1102.0,0.0
1,29,3,8.292558817177433,2273.0000154693503,2017.1488391258017,1991.8028483339463,255.85117634354856,30,False,-1171.0,0.2651861,-905.5681,-196.3664,1102.0,0.0
1,30,1,41.8419064005697,2273.006016096267,1382.7028880848734,1602.439169155148,890.3031280113937,30,False,-1171.006,0.2705066,-217.4185,413.524,1102.0,0.0
1,30,2,2.2605219131811722,2273.0130162644673,2171.792578000844,1771.9498896536745,101.22043826362324,30,False,-1171.013,0.2719167,-1069.062,-56.32756,1102.0,0.0
1,30,3,28.81021847910329,2273.0050159259376,1657.000646343872,1643.3517465466432,616.0043695820657,30,False,-1171.005,0.2690715,-455.4124,565.7895,1102.0,0.0
1,31,1,21.443469529033084,2273.0000157597337,1754.130625179072,1974.132186400738,518.8693905806617,30,False,-1171.0,0.2676635,-651.1434,-58.84275,1102.0,0.0
1,31,2,20.17205415942943,2273.0050154073697,1779.563932218781,1956.2056646716685,493.44108318858866,30,False,-1171.005,0.2646546,-662.6039,-230.2626,1102.0,0.0
1,31,3,16.022993904687134,2273.020015545398,1862.5601374516555,1961.1735872605393,410.45987809374265,30,False,-1171.02,0.2658383,-750.0712,-197.3893,1102.0,0.0
1,32,1,1.6489783626020633,2273.000015726755,2150.0204484747137,2157.3120940101253,122.9795672520413,30,False,-1171.0,0.2673833,-1008.397,-410.8679,1102.0,0.0
1,32,2,0.8700240706290298,2273.0000155547173,2165.5995341421367,2172.235480657217,107.40048141258058,30,False,-1171.0,0.2659168,-1022.75,-418.6392,1102.0,0.0
1,32,3,2.1131050765188304,2273.010015533107,2140.7479140027303,2147.8056731681654,132.26210153037664,30,False,-1171.01,0.2657326,-1000.378,-403.4952,1102.0,0.0
1,33,1,2.168907243313059,2273.0000157288023,2139.621870862541,2162.644423998278,133.3781448662612,30,False,-1171.0,0.2674007,-999.5634,-401.7624,1102.0,0.0
1,33,2,0.6322163643369533,2273.011016294115,2170.366689007376,2165.254551648326,102.6443272867391,30,False,-1171.011,0.2721643,-1035.683,-375.2372,1102.0,0.0
1,33,3,1.2120465697566918,2273.0110156815754,2158.7700842864415,2156.1449653683917,114.24093139513388,30,False,-1171.011,0.2669996,-1022.218,-384.6897,1102.0,0.0
1,34,1,-40.53014143013077,2273.0000157460886,3001.732844348704,2204.4899685244013,-728.7328286026154,30,False,-1171.0,0.2675476,-778.3976,-2339.766,1102.0,0.0
